parameter file: TGEN_cleaned6.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.bed
snpname: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.bim
indivname: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.fam
evecoutname: TGEN_cleaned6_PCA.evec
evaloutname: TGEN_cleaned6_PCA.eval
altnormstyle: NO
numoutevec: 10
numoutlieriter: 0
## smartpca version: 16000
norm used

genetic distance set from physical distance
 129      1.237213   -0.000731   -21.888            1 48376.965
 130      1.236136   -0.001077   -22.170            1 48422.993
 131      1.235962   -0.000174   -21.902            1 48468.603
 132      1.235277   -0.000685   -21.946            1 48514.747
 133      1.234489   -0.000788   -22.053            1 48560.886
 134      1.233373   -0.001116   -22.362            1 48606.908
 135      1.233203   -0.000170   -22.093            1 48652.461
 136      1.231709   -0.001494   -22.635            1 48698.554
 137      1.231501   -0.000208   -22.391            1 48743.767
 138      1.231051   -0.000450   -22.294            1 48789.476
 139      1.229931   -0.001119   -22.609            1 48835.424
 140      1.229536   -0.000395   -22.480            1 48880.887
 141      1.228539   -0.000997   -22.721            1 48926.646
 142      1.228336   -0.000203   -22.474            1 48972.047
 143      1.227361   -0.000975   -22.702            1 49017.953
 144      1.227311   -0.000049   -22.361            1 49063.522
 145      1.227009   -0.000302   -22.174            1 49109.768
 146      1.225152   -0.001857   -22.947            1 49156.419
 147      1.224700   -0.000452   -22.856            1 49201.756
 148      1.223928   -0.000772   -22.962            1 49247.324
 149      1.223152   -0.000776   -23.072            1 49292.768
 150      1.222829   -0.000323   -22.902            1 49338.082
 151      1.222287   -0.000542   -22.867            1 49383.769
 152      1.221627   -0.000660   -22.905            1 49429.587
 153      1.220781   -0.000846   -23.059            1 49475.404
 154      1.219722   -0.001058   -23.347            1 49521.008
 155      1.219098   -0.000624   -23.366            1 49566.158
 156      1.218889   -0.000210   -23.127            1 49611.338
 157      1.217774   -0.001115   -23.452            1 49657.020
 158      1.217510   -0.000264   -23.247            1 49702.175
 159      1.216615   -0.000895   -23.436            1 49747.770
 160      1.216066   -0.000549   -23.409            1 49793.085
 161      1.214878   -0.001188   -23.782            1 49838.515
 162      1.214872   -0.000007   -23.419            1 49883.324
 163      1.213979   -0.000893   -23.608            1 49928.866
 164      1.213658   -0.000321   -23.441            1 49974.125
 165      1.211842   -0.001816   -24.210            1 50019.758
 166      1.211131   -0.000711   -24.291            1 50064.033
 167      1.209574   -0.001557   -24.903            1 50108.220
 168      1.209092   -0.000482   -24.844            1 50151.336
 169      1.208585   -0.000506   -24.800            1 50194.618
 170      1.208167   -0.000418   -24.700            1 50238.041
 171      1.207301   -0.000866   -24.882            1 50281.707
 172      1.206443   -0.000858   -25.060            1 50325.093
 173      1.206352   -0.000092   -24.756            1 50368.206
 174      1.205834   -0.000518   -24.720            1 50411.944
 175      1.204576   -0.001258   -25.151            1 50455.809
 176      1.204416   -0.000159   -24.890            1 50498.924
 177      1.203526   -0.000890   -25.090            1 50542.586
 178      1.203106   -0.000420   -24.994            1 50585.930
 179      1.202364   -0.000743   -25.102            1 50629.512
 180      1.202113   -0.000251   -24.899            1 50672.948
 181      1.200968   -0.001145   -25.263            1 50716.826
 182      1.200760   -0.000207   -25.033            1 50760.073
 183      1.200206   -0.000554   -25.023            1 50803.813
 184      1.199762   -0.000444   -24.943            1 50847.631
 185      1.198985   -0.000778   -25.074            1 50891.661
 186      1.198186   -0.000799   -25.220            1 50935.497
 187      1.197639   -0.000547   -25.207            1 50979.111
 188      1.196675   -0.000964   -25.459            1 51022.807
 189      1.196360   -0.000315   -25.300            1 51066.075
 190      1.195932   -0.000428   -25.212            1 51109.707
 191      1.195256   -0.000675   -25.282            1 51153.565
 192      1.194504   -0.000752   -25.401            1 51197.347
 193      1.193451   -0.001053   -25.713            1 51240.954
 194      1.193243   -0.000208   -25.487            1 51284.011
 195      1.192561   -0.000682   -25.563            1 51327.563
 196      1.192009   -0.000552   -25.557            1 51371.022
 197      1.191423   -0.000586   -25.572            1 51414.550
 198      1.191174   -0.000248   -25.372            1 51458.103
 199      1.189946   -0.001228   -25.798            1 51502.108
 200      1.189603   -0.000343   -25.660            1 51545.329
 201      1.189055   -0.000548   -25.652            1 51588.877
 202      1.188345   -0.000709   -25.749            1 51632.496
 203      1.188164   -0.000181   -25.506            1 51675.980
 204      1.187576   -0.000588   -25.524            1 51720.002
 205      1.186663   -0.000913   -25.751            1 51764.046
 206      1.186156   -0.000507   -25.719            1 51807.691
 207      1.185353   -0.000804   -25.877            1 51851.458
 208      1.184955   -0.000398   -25.775            1 51894.962
 209      1.184223   -0.000732   -25.888            1 51938.726
 210      1.183529   -0.000694   -25.978            1 51982.318
 211      1.182822   -0.000707   -26.077            1 52025.783
 212      1.182457   -0.000365   -25.956            1 52069.103
 213      1.182277   -0.000179   -25.713            1 52112.723
 214      1.181506   -0.000771   -25.853            1 52156.890
 215      1.180576   -0.000930   -26.097            1 52200.829
 216      1.179926   -0.000651   -26.161            1 52244.327
 217      1.179330   -0.000596   -26.190            1 52287.747
 218      1.178936   -0.000394   -26.088            1 52331.162
 219      1.178291   -0.000645   -26.149            1 52374.838
 220      1.177905   -0.000385   -26.042            1 52418.443
 221      1.177429   -0.000477   -25.994            1 52462.323
 222      1.176744   -0.000685   -26.081            1 52506.356
 223      1.175559   -0.001185   -26.496            1 52550.264
 224      1.175310   -0.000249   -26.302            1 52593.369
 225      1.175064   -0.000245   -26.105            1 52636.928
 226      1.174605   -0.000460   -26.046            1 52680.950
 227      1.173997   -0.000607   -26.085            1 52725.148
 228      1.173284   -0.000713   -26.192            1 52769.321
 229      1.172625   -0.000659   -26.266            1 52813.323
 230      1.172258   -0.000367   -26.149            1 52857.225
 231      1.171882   -0.000375   -26.036            1 52901.428
 232      1.170596   -0.001287   -26.520            1 52945.922
 233      1.170379   -0.000217   -26.306            1 52989.448
 234      1.169759   -0.000620   -26.356            1 53033.479
 235      1.169555   -0.000204   -26.133            1 53077.459
 236      1.169056   -0.000499   -26.102            1 53121.967
 237      1.168187   -0.000869   -26.314            1 53166.596
 238      1.167493   -0.000694   -26.414            1 53210.825
 239      1.167242   -0.000251   -26.222            1 53254.897
 240      1.166397   -0.000845   -26.420            1 53299.432
 241      1.165850   -0.000547   -26.424            1 53343.596
 242      1.165428   -0.000422   -26.345            1 53387.804
 243      1.164919   -0.000509   -26.323            1 53432.237
 244      1.164102   -0.000818   -26.505            1 53476.771
 245      1.164002   -0.000100   -26.214            1 53520.963
 246      1.163262   -0.000740   -26.345            1 53565.841
 247      1.162817   -0.000445   -26.282            1 53610.489
 248      1.161974   -0.000843   -26.482            1 53655.329
 249      1.161523   -0.000451   -26.424            1 53699.786
 250      1.160833   -0.000690   -26.524            1 53744.424
 251      1.159572   -0.001261   -27.003            1 53788.895
 252      1.159042   -0.000531   -27.001            1 53832.365
 253      1.158676   -0.000366   -26.889            1 53875.891
 254      1.158113   -0.000563   -26.908            1 53919.711
 255      1.157550   -0.000562   -26.927            1 53963.541
 256      1.157012   -0.000538   -26.930            1 54007.379
 257      1.156810   -0.000202   -26.710            1 54051.261
 258      1.156488   -0.000322   -26.568            1 54095.684
 259      1.155187   -0.001301   -27.079            1 54140.476
 260      1.154821   -0.000366   -26.968            1 54184.179
 261      1.154453   -0.000368   -26.859            1 54228.177
 262      1.153542   -0.000911   -27.112            1 54272.471
 263      1.153157   -0.000385   -27.015            1 54316.247
 264      1.152487   -0.000669   -27.108            1 54360.291
 265      1.152118   -0.000369   -27.001            1 54404.175
 266      1.151343   -0.000775   -27.165            1 54448.352
 267      1.150351   -0.000992   -27.475            1 54492.207
 268      1.150197   -0.000154   -27.226            1 54535.406
 269      1.149627   -0.000570   -27.255            1 54579.218
 270      1.149145   -0.000482   -27.224            1 54623.014
 271      1.148823   -0.000322   -27.086            1 54666.928
 272      1.148280   -0.000543   -27.097            1 54711.208
 273      1.147666   -0.000614   -27.155            1 54755.513
 274      1.146993   -0.000673   -27.253            1 54799.733
 275      1.146240   -0.000753   -27.406            1 54843.776
 276      1.145810   -0.000430   -27.343            1 54887.514
 277      1.145370   -0.000440   -27.286            1 54931.445
 278      1.144375   -0.000994   -27.603            1 54975.557
 279      1.144201   -0.000174   -27.368            1 55018.980
 280      1.143541   -0.000660   -27.461            1 55062.996
 281      1.143170   -0.000371   -27.359            1 55106.844
 282      1.142715   -0.000455   -27.312            1 55150.979
 283      1.141991   -0.000725   -27.449            1 55195.270
 284      1.141150   -0.000841   -27.665            1 55239.289
 285      1.140713   -0.000437   -27.609            1 55282.845
 286      1.140423   -0.000290   -27.453            1 55326.581
 287      1.139479   -0.000945   -27.740            1 55370.731
 288      1.139060   -0.000419   -27.672            1 55414.248
 289      1.138478   -0.000582   -27.715            1 55457.970
 290      1.138009   -0.000468   -27.682            1 55501.636
 291      1.137962   -0.000047   -27.361            1 55545.427
 292      1.137907   -0.000056   -27.045            1 55590.031
 293      1.136776   -0.001130   -27.459            1 55635.444
 294      1.136419   -0.000357   -27.349            1 55679.910
 295      1.135975   -0.000444   -27.297            1 55724.690
 296      1.135522   -0.000453   -27.252            1 55769.643
 297      1.134680   -0.000843   -27.472            1 55814.754
 298      1.134135   -0.000545   -27.491            1 55859.378
 299      1.133357   -0.000778   -27.669            1 55904.005
 300      1.132906   -0.000451   -27.624            1 55948.245
 301      1.132663   -0.000243   -27.438            1 55992.638
 302      1.131664   -0.000999   -27.768            1 56037.536
 303      1.131206   -0.000458   -27.730            1 56081.670
 304      1.130658   -0.000548   -27.753            1 56125.944
 305      1.130425   -0.000233   -27.560            1 56170.206
 306      1.129803   -0.000622   -27.634            1 56214.989
 307      1.128457   -0.001346   -28.205            1 56259.637
 308      1.128049   -0.000408   -28.135            1 56302.915
 309      1.127417   -0.000632   -28.219            1 56346.409
 310      1.127148   -0.000270   -28.054            1 56389.736
 311      1.126539   -0.000608   -28.122            1 56433.515
 312      1.126135   -0.000405   -28.050            1 56477.167
 313      1.125296   -0.000838   -28.277            1 56521.041
 314      1.124860   -0.000437   -28.228            1 56564.389
 315      1.124236   -0.000624   -28.308            1 56607.902
 316      1.123790   -0.000446   -28.266            1 56651.252
 317      1.123222   -0.000569   -28.309            1 56694.750
 318      1.122772   -0.000450   -28.270            1 56738.181
 319      1.122505   -0.000267   -28.105            1 56781.751
 320      1.122372   -0.000133   -27.845            1 56825.783
 321      1.121835   -0.000537   -27.865            1 56870.519
 322      1.121080   -0.000756   -28.036            1 56915.249
 323      1.120457   -0.000623   -28.116            1 56959.585
 324      1.120161   -0.000297   -27.971            1 57003.757
 325      1.119367   -0.000793   -28.169            1 57048.346
 326      1.118402   -0.000965   -28.489            1 57092.465
 327      1.117731   -0.000671   -28.606            1 57135.800
 328      1.117530   -0.000201   -28.397            1 57178.871
 329      1.116929   -0.000601   -28.466            1 57222.522
 330      1.116512   -0.000416   -28.406            1 57266.034
 331      1.116314   -0.000199   -28.195            1 57309.740
 332      1.115671   -0.000643   -28.292            1 57354.037
 333      1.115292   -0.000379   -28.206            1 57398.121
 334      1.114530   -0.000762   -28.387            1 57442.472
 335      1.114296   -0.000233   -28.200            1 57486.388
 336      1.114066   -0.000230   -28.010            1 57530.836
 337      1.113846   -0.000220   -27.812            1 57575.828
 338      1.112784   -0.001062   -28.201            1 57621.391
 339      1.112323   -0.000461   -28.173            1 57665.960
 340      1.111692   -0.000631   -28.264            1 57710.646
 341      1.111403   -0.000289   -28.115            1 57755.131
 342      1.111315   -0.000088   -27.825            1 57800.053
 343      1.110620   -0.000696   -27.960            1 57845.797
 344      1.110051   -0.000569   -28.007            1 57891.222
 345      1.109828   -0.000223   -27.811            1 57936.563
 346      1.109105   -0.000723   -27.966            1 57982.477
 347      1.108314   -0.000790   -28.169            1 58028.014
 348      1.107360   -0.000954   -28.489            1 58073.042
 349      1.107170   -0.000190   -28.273            1 58117.241
 350      1.106454   -0.000716   -28.426            1 58162.066
 351      1.105999   -0.000455   -28.397            1 58206.513
 352      1.105886   -0.000113   -28.126            1 58251.078
 353      1.105486   -0.000400   -28.056            1 58296.427
 354      1.105073   -0.000414   -27.996            1 58342.009
 355      1.104606   -0.000467   -27.973            1 58387.800
 356      1.104221   -0.000386   -27.893            1 58433.696
 357      1.104196   -0.000025   -27.557            1 58479.858
 358      1.103731   -0.000465   -27.531            1 58527.001
 359      1.102869   -0.000862   -27.786            1 58574.263
 360      1.101662   -0.001207   -28.287            1 58620.855
 361      1.101180   -0.000482   -28.278            1 58666.084
 362      1.100324   -0.000856   -28.534            1 58711.379
 363      1.100106   -0.000218   -28.339            1 58755.996
 364      1.099689   -0.000416   -28.283            1 58801.198
 365      1.099084   -0.000605   -28.362            1 58846.596
 366      1.098761   -0.000323   -28.241            1 58891.809
 367      1.098224   -0.000537   -28.271            1 58937.406
 368      1.097439   -0.000786   -28.479            1 58982.956
 369      1.097039   -0.000399   -28.413            1 59027.951
 370      1.096852   -0.000188   -28.196            1 59073.173
 371      1.096229   -0.000622   -28.288            1 59119.055
 372      1.095880   -0.000349   -28.185            1 59164.712
 373      1.094768   -0.001112   -28.627            1 59210.703
 374      1.094324   -0.000444   -28.594            1 59255.458
 375      1.093949   -0.000375   -28.513            1 59300.345
 376      1.093532   -0.000417   -28.460            1 59345.503
 377      1.092829   -0.000703   -28.613            1 59390.849
 378      1.092081   -0.000747   -28.798            1 59435.789
 379      1.091664   -0.000417   -28.748            1 59480.224
 380      1.091517   -0.000147   -28.504            1 59524.839
 381      1.090993   -0.000524   -28.529            1 59570.203
 382      1.090249   -0.000745   -28.713            1 59615.528
 383      1.089804   -0.000445   -28.683            1 59660.348
 384      1.089634   -0.000170   -28.455            1 59705.291
 385      1.089185   -0.000449   -28.427            1 59750.943
 386      1.088479   -0.000706   -28.583            1 59796.714
 387      1.087764   -0.000715   -28.747            1 59842.056
 388      1.087389   -0.000376   -28.668            1 59886.943
 389      1.087021   -0.000368   -28.583            1 59932.100
 390      1.086162   -0.000858   -28.852            1 59977.544
 391      1.086115   -0.000047   -28.537            1 60022.218
 392      1.085276   -0.000839   -28.792            1 60067.871
 393      1.085156   -0.000120   -28.529            1 60112.791
 394      1.084654   -0.000502   -28.541            1 60158.537
 395      1.084469   -0.000185   -28.324            1 60204.282
 396      1.083313   -0.001156   -28.808            1 60250.721
 397      1.083197   -0.000116   -28.542            1 60295.722
 398      1.082717   -0.000480   -28.539            1 60341.566
 399      1.082464   -0.000253   -28.372            1 60387.454
 400      1.081566   -0.000898   -28.671            1 60433.891
 401      1.080818   -0.000748   -28.863            1 60479.442
 402      1.080324   -0.000494   -28.873            1 60524.434
 403      1.079963   -0.000361   -28.785            1 60569.427
 404      1.079512   -0.000452   -28.764            1 60614.720
 405      1.078441   -0.001070   -29.192            1 60660.112
 406      1.078230   -0.000211   -28.998            1 60704.204
 407      1.077410   -0.000820   -29.246            1 60748.927
 408      1.077196   -0.000214   -29.055            1 60792.904
 409      1.076948   -0.000248   -28.887            1 60837.507
 410      1.076281   -0.000668   -29.025            1 60882.662
 411      1.076067   -0.000213   -28.832            1 60927.415
 412      1.075536   -0.000531   -28.869            1 60972.804
 413      1.075004   -0.000532   -28.908            1 61018.103
 414      1.074878   -0.000126   -28.652            1 61063.308
 415      1.074480   -0.000398   -28.592            1 61109.359
 416      1.073706   -0.000774   -28.807            1 61155.631
 417      1.073335   -0.000370   -28.728            1 61201.247
 418      1.072551   -0.000784   -28.952            1 61247.144
 419      1.072021   -0.000529   -28.991            1 61292.353
 420      1.071674   -0.000347   -28.897            1 61337.465
 421      1.071478   -0.000196   -28.691            1 61382.908
 422      1.071270   -0.000207   -28.493            1 61429.045
 423      1.070460   -0.000811   -28.736            1 61475.856
 424      1.070148   -0.000312   -28.615            1 61521.907
 425      1.069639   -0.000509   -28.638            1 61568.383
 426      1.068992   -0.000647   -28.763            1 61614.814
 427      1.068498   -0.000494   -28.775            1 61660.867
 428      1.068227   -0.000271   -28.625            1 61706.905
 429      1.067520   -0.000707   -28.795            1 61753.469
 430      1.067074   -0.000446   -28.773            1 61799.501
 431      1.066628   -0.000445   -28.751            1 61845.632
 432      1.065675   -0.000953   -29.104            1 61891.865
 433      1.065396   -0.000279   -28.962            1 61936.953
 434      1.064782   -0.000614   -29.066            1 61982.539
 435      1.064395   -0.000387   -29.003            1 62027.803
 436      1.064233   -0.000162   -28.773            1 62073.302
 437      1.063551   -0.000682   -28.928            1 62119.596
 438      1.062811   -0.000740   -29.126            1 62165.397
 439      1.062692   -0.000118   -28.865            1 62210.556
 440      1.062072   -0.000620   -28.974            1 62256.620
 441      1.061914   -0.000159   -28.742            1 62302.338
 442      1.061285   -0.000629   -28.858            1 62348.869
 443      1.060979   -0.000305   -28.735            1 62395.031
 444      1.060233   -0.000746   -28.938            1 62441.641
 445      1.059839   -0.000394   -28.881            1 62487.582
 446      1.059392   -0.000447   -28.863            1 62533.743
 447      1.058957   -0.000435   -28.836            1 62579.989
 448      1.058351   -0.000606   -28.937            1 62626.351
 449      1.057967   -0.000383   -28.873            1 62672.388
 450      1.057833   -0.000134   -28.623            1 62718.673
 451      1.057279   -0.000554   -28.684            1 62765.852
 452      1.057196   -0.000083   -28.394            1 62812.845
 453      1.056691   -0.000506   -28.418            1 62860.878
 454      1.056178   -0.000512   -28.448            1 62908.856
 455      1.055733   -0.000445   -28.428            1 62956.757
 456      1.054702   -0.001031   -28.846            1 63004.758
 457      1.054373   -0.000329   -28.741            1 63051.308
 458      1.054034   -0.000339   -28.644            1 63098.251
 459      1.053801   -0.000232   -28.466            1 63145.564
 460      1.052990   -0.000812   -28.722            1 63193.537
 461      1.052786   -0.000204   -28.523            1 63240.623
 462      1.052200   -0.000586   -28.610            1 63288.445
 463      1.051984   -0.000216   -28.420            1 63335.982
 464      1.051244   -0.000740   -28.622            1 63384.228
 465      1.051079   -0.000165   -28.394            1 63431.768
 466      1.050656   -0.000423   -28.359            1 63480.161
 467      1.050414   -0.000242   -28.187            1 63528.708
 468      1.049229   -0.001185   -28.724            1 63577.911
 469      1.049071   -0.000158   -28.491            1 63625.178
 470      1.048587   -0.000484   -28.503            1 63673.320
 471      1.048043   -0.000544   -28.560            1 63721.443
 472      1.047645   -0.000398   -28.508            1 63769.380
 473      1.047582   -0.000063   -28.203            1 63817.534
 474      1.046799   -0.000782   -28.438            1 63866.844
 475      1.046553   -0.000246   -28.271            1 63915.305
 476      1.046045   -0.000508   -28.301            1 63964.415
 477      1.045183   -0.000862   -28.598            1 64013.439
 478      1.044804   -0.000379   -28.533            1 64061.375
 479      1.044504   -0.000300   -28.407            1 64109.579
 480      1.043988   -0.000516   -28.444            1 64158.280
 481      1.043815   -0.000173   -28.222            1 64206.865
 482      1.043054   -0.000761   -28.444            1 64256.314
 483      1.042849   -0.000205   -28.246            1 64304.945
 484      1.042447   -0.000402   -28.196            1 64354.354
 485      1.042021   -0.000426   -28.165            1 64403.978
 486      1.041533   -0.000488   -28.180            1 64453.748
 487      1.041023   -0.000511   -28.214            1 64503.484
 488      1.040672   -0.000351   -28.125            1 64553.117
 489      1.040209   -0.000463   -28.123            1 64603.117
 490      1.039237   -0.000972   -28.507            1 64653.153
 491      1.039034   -0.000203   -28.308            1 64701.723
 492      1.037987   -0.001047   -28.752            1 64751.085
 493      1.037551   -0.000437   -28.733            1 64798.743
 494      1.037429   -0.000122   -28.474            1 64846.491
 495      1.036769   -0.000659   -28.624            1 64895.267
 496      1.036666   -0.000103   -28.350            1 64943.475
 497      1.036093   -0.000573   -28.433            1 64992.779
 498      1.035590   -0.000503   -28.464            1 65041.774
 499      1.035319   -0.000271   -28.318            1 65090.666
 500      1.035196   -0.000124   -28.058            1 65140.158
 501      1.034540   -0.000656   -28.204            1 65190.708
 502      1.034314   -0.000226   -28.022            1 65240.697
 503      1.033378   -0.000936   -28.383            1 65291.438
 504      1.033282   -0.000096   -28.103            1 65340.751
 505      1.032783   -0.000499   -28.130            1 65391.214
 506      1.032623   -0.000160   -27.897            1 65441.591
 507      1.031835   -0.000788   -28.145            1 65492.935
 508      1.031521   -0.000314   -28.031            1 65543.291
 509      1.031405   -0.000115   -27.763            1 65594.135
 510      1.030569   -0.000836   -28.049            1 65646.099
